timestamp,safety_switch_available,safety_off,override_available,override_enabled
299126894,1,1,0,0
299150887,1,1,0,0
299170900,1,1,0,0
299195209,1,1,0,0
299214890,1,1,0,0
299238927,1,1,0,0
299258913,1,1,0,0
299282889,1,1,0,0
299306898,1,1,0,0
299330897,1,1,0,0
299354885,1,1,0,0
299378921,1,1,0,0
299402887,1,1,0,0
299422893,1,1,0,0
299447201,1,1,0,0
299466889,1,1,0,0
299490891,1,1,0,0
299510887,1,1,0,0
299530910,1,1,0,0
299555205,1,1,0,0
299574914,1,1,0,0
299598887,1,1,0,0
299618926,1,1,0,0
299642894,1,1,0,0
299663200,1,1,0,0
299686887,1,1,0,0
299706887,1,1,0,0
299726889,1,1,0,0
299750887,1,1,0,0
299771210,1,1,0,0
299794899,1,1,0,0
299814895,1,1,0,0
299838944,1,1,0,0
299862888,1,1,0,0
299886888,1,1,0,0
299906895,1,1,0,0
299926889,1,1,0,0
299951210,1,1,0,0
299974887,1,1,0,0
299994888,1,1,0,0
300014891,1,1,0,0
300038911,1,1,0,0
300062896,1,1,0,0
300082894,1,1,0,0
300106888,1,1,0,0
300126889,1,1,0,0
300150890,1,1,0,0
300170895,1,1,0,0
300194887,1,1,0,0
300218894,1,1,0,0
300239224,1,1,0,0
300258900,1,1,0,0
300282887,1,1,0,0
300306887,1,1,0,0
300326887,1,1,0,0
300347196,1,1,0,0
300370897,1,1,0,0
300394893,1,1,0,0
300419210,1,1,0,0
300438907,1,1,0,0
300458909,1,1,0,0
300482888,1,1,0,0
300502888,1,1,0,0
300527191,1,1,0,0
300550887,1,1,0,0
300570895,1,1,0,0
300594888,1,1,0,0
300614887,1,1,0,0
300638887,1,1,0,0
300658888,1,1,0,0
300682895,1,1,0,0
300707210,1,1,0,0
300730888,1,1,0,0
300754896,1,1,0,0
300774895,1,1,0,0
300794896,1,1,0,0
300818915,1,1,0,0
300838931,1,1,0,0
300862888,1,1,0,0
300882889,1,1,0,0
300906897,1,1,0,0
300930915,1,1,0,0
300954889,1,1,0,0
300974887,1,1,0,0
300995214,1,1,0,0
301018903,1,1,0,0
301042888,1,1,0,0
301062888,1,1,0,0
301082904,1,1,0,0
301103210,1,1,0,0
301126896,1,1,0,0
301151688,1,1,0,0
301176038,1,1,0,0
301195796,1,1,0,0
301219701,1,1,0,0
301239720,1,1,0,0
301263687,1,1,0,0
301287687,1,1,0,0
301311687,1,1,0,0
301331686,1,1,0,0
301356039,1,1,0,0
301379750,1,1,0,0
301403688,1,1,0,0
301428000,1,1,0,0
301447688,1,1,0,0
301471688,1,1,0,0
301491689,1,1,0,0
301511688,1,1,0,0
301531713,1,1,0,0
301551690,1,1,0,0
301572012,1,1,0,0
301595694,1,1,0,0
301619755,1,1,0,0
301644006,1,1,0,0
301667694,1,1,0,0
301691688,1,1,0,0
301711688,1,1,0,0
301731690,1,1,0,0
301755716,1,1,0,0
301779741,1,1,0,0
301803686,1,1,0,0
301824008,1,1,0,0
301847694,1,1,0,0
301871688,1,1,0,0
301891733,1,1,0,0
301911688,1,1,0,0
301932006,1,1,0,0
301951687,1,1,0,0
301971693,1,1,0,0
301991689,1,1,0,0
302011693,1,1,0,0
302035688,1,1,0,0
302055695,1,1,0,0
302076040,1,1,0,0
302099688,1,1,0,0
302119696,1,1,0,0
302139698,1,1,0,0
302163687,1,1,0,0
302187688,1,1,0,0
302211704,1,1,0,0
302231687,1,1,0,0
302255901,1,1,0,0
302275687,1,1,0,0
302295687,1,1,0,0
302315693,1,1,0,0
302339698,1,1,0,0
302363904,1,1,0,0
302383687,1,1,0,0
302407688,1,1,0,0
302427686,1,1,0,0
302447688,1,1,0,0
302467688,1,1,0,0
302491688,1,1,0,0
302511691,1,1,0,0
302531687,1,1,0,0
302555699,1,1,0,0
302575701,1,1,0,0
302595712,1,1,0,0
302619727,1,1,0,0
302639708,1,1,0,0
302659823,1,1,0,0
302683692,1,1,0,0
302703687,1,1,0,0
302724017,1,1,0,0
302747699,1,1,0,0
302771717,1,1,0,0
302796011,1,1,0,0
302815713,1,1,0,0
302839697,1,1,0,0
302859696,1,1,0,0
302883686,1,1,0,0
302907687,1,1,0,0
302927709,1,1,0,0
302951687,1,1,0,0
302971698,1,1,0,0
302991705,1,1,0,0
303015687,1,1,0,0
303035686,1,1,0,0
303055688,1,1,0,0
303075716,1,1,0,0
303099689,1,1,0,0
303120023,1,1,0,0
303139729,1,1,0,0
303163705,1,1,0,0
303187700,1,1,0,0
303207687,1,1,0,0
303231687,1,1,0,0
303251688,1,1,0,0
303275712,1,1,0,0
303300011,1,1,0,0
303323688,1,1,0,0
303343688,1,1,0,0
303363686,1,1,0,0
303387686,1,1,0,0
303408011,1,1,0,0
303427698,1,1,0,0
303451688,1,1,0,0
303471691,1,1,0,0
303491712,1,1,0,0
303516019,1,1,0,0
303539797,1,1,0,0
303563688,1,1,0,0
303588010,1,1,0,0
303611688,1,1,0,0
303631696,1,1,0,0
303651699,1,1,0,0
303675686,1,1,0,0
303699779,1,1,0,0
303723695,1,1,0,0
303743702,1,1,0,0
303763696,1,1,0,0
303783695,1,1,0,0
303807687,1,1,0,0
303831687,1,1,0,0
303855696,1,1,0,0
303876016,1,1,0,0
303899694,1,1,0,0
303919812,1,1,0,0
303943691,1,1,0,0
303967700,1,1,0,0
303991688,1,1,0,0
304011686,1,1,0,0
304031688,1,1,0,0
304056008,1,1,0,0
304075717,1,1,0,0
304099691,1,1,0,0
304119696,1,1,0,0
304139718,1,1,0,0
304164022,1,1,0,0
304183687,1,1,0,0
304203686,1,1,0,0
304227691,1,1,0,0
304251688,1,1,0,0
304275805,1,1,0,0
304299699,1,1,0,0
304319690,1,1,0,0
304339721,1,1,0,0
304363689,1,1,0,0
304383734,1,1,0,0
304403697,1,1,0,0
304423692,1,1,0,0
304447688,1,1,0,0
304467692,1,1,0,0
304491686,1,1,0,0
304511696,1,1,0,0
304531775,1,1,0,0
304555687,1,1,0,0
304575687,1,1,0,0
304596011,1,1,0,0
304619687,1,1,0,0
304639687,1,1,0,0
304663694,1,1,0,0
304683687,1,1,0,0
304703990,1,1,0,0
304727702,1,1,0,0
304751688,1,1,0,0
304776010,1,1,0,0
304799688,1,1,0,0
304819702,1,1,0,0
304839687,1,1,0,0
304863735,1,1,0,0
304887718,1,1,0,0
304911687,1,1,0,0
304931724,1,1,0,0
304956013,1,1,0,0
304975698,1,1,0,0
304999690,1,1,0,0
305019688,1,1,0,0
305043686,1,1,0,0
305067755,1,1,0,0
305091687,1,1,0,0
305111687,1,1,0,0
305131771,1,1,0,0
305155713,1,1,0,0
305179855,1,1,0,0
305203699,1,1,0,0
305223687,1,1,0,0
305244003,1,1,0,0
305267694,1,1,0,0
305291688,1,1,0,0
305311695,1,1,0,0
305331732,1,1,0,0
305355726,1,1,0,0
305379713,1,1,0,0
305403686,1,1,0,0
305427695,1,1,0,0
305447699,1,1,0,0
305471687,1,1,0,0
305491704,1,1,0,0
305511690,1,1,0,0
305532030,1,1,0,0
305555686,1,1,0,0
305575687,1,1,0,0
305599687,1,1,0,0
305619782,1,1,0,0
305643734,1,1,0,0
305667689,1,1,0,0
305691686,1,1,0,0
305712004,1,1,0,0
305731733,1,1,0,0
305755695,1,1,0,0
305775687,1,1,0,0
305795730,1,1,0,0
305820011,1,1,0,0
305839720,1,1,0,0
305859717,1,1,0,0
305883694,1,1,0,0
305907686,1,1,0,0
305928030,1,1,0,0
305951688,1,1,0,0
305975710,1,1,0,0
306000007,1,1,0,0
306023687,1,1,0,0
306047689,1,1,0,0
306072006,1,1,0,0
306091702,1,1,0,0
306115700,1,1,0,0
306135687,1,1,0,0
306155771,1,1,0,0
306180024,1,1,0,0
306203719,1,1,0,0
306227686,1,1,0,0
306247688,1,1,0,0
306267702,1,1,0,0
306291698,1,1,0,0
306311687,1,1,0,0
306331707,1,1,0,0
306355720,1,1,0,0
306375730,1,1,0,0
306399733,1,1,0,0
306419717,1,1,0,0
306439690,1,1,0,0
306463688,1,1,0,0
306483693,1,1,0,0
306503999,1,1,0,0
306527687,1,1,0,0
306551688,1,1,0,0
306571698,1,1,0,0
306591687,1,1,0,0
306612017,1,1,0,0
306631695,1,1,0,0
306655710,1,1,0,0
306679687,1,1,0,0
306699688,1,1,0,0
306720014,1,1,0,0
306739787,1,1,0,0
306763695,1,1,0,0
306783687,1,1,0,0
306807688,1,1,0,0
306831687,1,1,0,0
306855688,1,1,0,0
306875699,1,1,0,0
306900007,1,1,0,0
306919690,1,1,0,0
306943687,1,1,0,0
306967688,1,1,0,0
306991687,1,1,0,0
307011687,1,1,0,0
307031688,1,1,0,0
307055687,1,1,0,0
307075702,1,1,0,0
307099687,1,1,0,0
307119693,1,1,0,0
307143687,1,1,0,0
307167690,1,1,0,0
307191687,1,1,0,0
307215691,1,1,0,0
307239687,1,1,0,0
307263687,1,1,0,0
307283688,1,1,0,0
307307687,1,1,0,0
307332008,1,1,0,0
307355767,1,1,0,0
307379688,1,1,0,0
307404019,1,1,0,0
307427686,1,1,0,0
307451713,1,1,0,0
307476010,1,1,0,0
307495712,1,1,0,0
307519689,1,1,0,0
307543695,1,1,0,0
307563699,1,1,0,0
307587701,1,1,0,0
307611694,1,1,0,0
307635690,1,1,0,0
307656020,1,1,0,0
307675725,1,1,0,0
307699690,1,1,0,0
307719690,1,1,0,0
307739710,1,1,0,0
307764016,1,1,0,0
307787698,1,1,0,0
307811692,1,1,0,0
307836023,1,1,0,0
307855747,1,1,0,0
307875800,1,1,0,0
307899693,1,1,0,0
307919690,1,1,0,0
307939713,1,1,0,0
307963689,1,1,0,0
307983688,1,1,0,0
308007696,1,1,0,0
308031687,1,1,0,0
308055690,1,1,0,0
308075688,1,1,0,0
308099690,1,1,0,0
308124016,1,1,0,0
308143699,1,1,0,0
308167689,1,1,0,0
308187689,1,1,0,0
308207688,1,1,0,0
308232014,1,1,0,0
308255692,1,1,0,0
308275703,1,1,0,0
308299706,1,1,0,0
308323686,1,1,0,0
308347701,1,1,0,0
308371689,1,1,0,0
308391690,1,1,0,0
308415712,1,1,0,0
308439710,1,1,0,0
308459704,1,1,0,0
308484016,1,1,0,0
308507689,1,1,0,0
308531718,1,1,0,0
308556011,1,1,0,0
308575698,1,1,0,0
308595713,1,1,0,0
308619688,1,1,0,0
308639692,1,1,0,0
308659722,1,1,0,0
308683690,1,1,0,0
308707689,1,1,0,0
308727712,1,1,0,0
308751688,1,1,0,0
308775707,1,1,0,0
308799687,1,1,0,0
308823687,1,1,0,0
308847690,1,1,0,0
308871688,1,1,0,0
308895690,1,1,0,0
308919690,1,1,0,0
308943690,1,1,0,0
308963698,1,1,0,0
308988004,1,1,0,0
309007690,1,1,0,0
309027714,1,1,0,0
309051688,1,1,0,0
309071687,1,1,0,0
309091688,1,1,0,0
309115733,1,1,0,0
309135687,1,1,0,0
309159687,1,1,0,0
309179703,1,1,0,0
309204016,1,1,0,0
309223687,1,1,0,0
309243686,1,1,0,0
309267696,1,1,0,0
309287715,1,1,0,0
309312010,1,1,0,0
309335688,1,1,0,0
309355751,1,1,0,0
309379688,1,1,0,0
309399687,1,1,0,0
309420026,1,1,0,0
309443696,1,1,0,0
309463690,1,1,0,0
309483696,1,1,0,0
309503687,1,1,0,0
309523688,1,1,0,0
309543699,1,1,0,0
309567687,1,1,0,0
309587694,1,1,0,0
309607688,1,1,0,0
309627698,1,1,0,0
309651689,1,1,0,0
309671988,1,1,0,0
309691689,1,1,0,0
309711687,1,1,0,0
309731698,1,1,0,0
309755765,1,1,0,0
